order_id,line_id,product_id,quantity,unit_price,discount_pct,line_gross,line_net,has_valid_product,product_category
500001,1,P029,5.0,50.8,5.0,254.0,241.29999999999998,True,Grocery
500001,2,P017,5.0,96.27,0.0,481.34999999999997,481.34999999999997,True,Beauty
500001,3,P026,5.0,224.72,0.0,1123.6,1123.6,True,Beauty
500002,1,P014,2.0,516.0,5.0,1032.0,980.4,True,Books
500003,1,P044,5.0,472.44,20.0,2362.2,1889.76,True,Electronics
500003,2,P054,3.0,291.62,10.0,874.86,787.374,True,Home
500003,3,P055,1.0,492.42,0.0,492.42,492.42,True,Beauty
500004,1,P010,1.0,90.38,10.0,90.38,81.342,True,Electronics
500004,2,P029,2.0,45.71,20.0,91.42,73.13600000000001,True,Grocery
500004,3,P041,3.0,560.82,5.0,1682.46,1598.337,True,Home
500004,4,P052,1.0,337.8,0.0,337.8,337.8,True,Sports
500005,1,P025,5.0,142.47,0.0,712.35,712.35,True,Books
500005,2,P021,1.0,207.63,0.0,207.63,207.63,True,Sports
500005,3,P046,1.0,40.75,0.0,40.75,40.75,True,Electronics
500005,4,P003,1.0,420.98,5.0,420.98,399.931,True,Home
500005,5,P018,1.0,63.51,20.0,63.51,50.808,True,Sports
500006,1,P001,1.0,19.88,0.0,19.88,19.88,True,Grocery
500006,2,P008,1.0,345.51,20.0,345.51,276.408,True,Electronics
500006,3,P012,2.0,277.95,5.0,555.9,528.1049999999999,True,Beauty
500007,1,P051,3.0,121.81,10.0,365.43,328.887,True,Electronics
500008,1,P022,2.0,62.3,5.0,124.6,118.36999999999999,True,Books
500009,1,P004,2.0,320.41,0.0,640.82,640.82,True,Beauty
500009,2,P047,1.0,338.79,0.0,338.79,338.79,True,Home
500009,3,P059,2.0,615.81,0.0,1231.62,1231.62,True,Grocery
500009,4,P021,1.0,177.18,0.0,177.18,177.18,True,Sports
500010,1,P023,3.0,61.25,5.0,183.75,174.5625,True,Books
500010,2,P041,4.0,652.59,0.0,2610.36,2610.36,True,Home
500011,1,P057,1.0,464.95,0.0,464.95,464.95,True,Grocery
500011,2,P023,5.0,59.31,0.0,296.55,296.55,True,Books
500011,3,P059,1.0,587.79,15.0,587.79,499.62149999999997,True,Grocery
500011,4,P017,1.0,80.69,15.0,80.69,68.5865,True,Beauty
500011,5,P060,3.0,150.36,5.0,451.08000000000004,428.526,True,Books
500012,1,P029,1.0,43.55,10.0,43.55,39.195,True,Grocery
500012,2,P006,2.0,252.56,0.0,505.12,505.12,True,Sports
500012,3,P026,2.0,233.83,0.0,467.66,467.66,True,Beauty
500012,4,P011,2.0,438.25,0.0,876.5,876.5,True,Beauty
500012,5,P024,2.0,653.42,0.0,1306.84,1306.84,True,Sports
500012,6,P029,1.0,48.7,5.0,48.7,46.265,True,Grocery
500013,1,P026,1.0,213.55,15.0,213.55,181.5175,True,Beauty
