order_id,customer_id,order_date,order_status,sales_channel,currency,customer_segment,order_expected_amount,total_cash_collected_amount,total_refund_amount,net_collected_amount,points_used,payment_event_count,installment_event_count,latest_payment_status,has_customer,has_any_payment,has_successful_payment,has_pending_payment,has_refund,is_fully_paid,is_partially_paid,is_overpaid,is_valid_revenue
500001,10226,2026-04-20,paid,store,CHF,B2C,1846.25,1846.25,0.0,1846.25,0.0,1.0,0.0,success,True,True,True,False,False,True,False,False,True
500002,10196,2026-01-19,pending,online,CHF,B2C,980.4,980.4,0.0,980.4,0.0,2.0,0.0,success,True,True,True,False,False,True,False,False,False
500003,10025,2026-01-11,paid,store,CHF,B2C,3169.554,3169.55,0.0,3169.55,0.0,1.0,0.0,success,True,True,True,False,False,False,True,False,True
500004,10079,2026-03-18,paid,store,CHF,B2C,2090.6150000000002,2090.62,0.0,2090.62,0.0,1.0,0.0,success,True,True,True,False,False,True,False,True,True
500005,10068,2026-02-15,pending,online,CHF,B2B,1411.469,1411.47,0.0,1411.47,0.0,1.0,0.0,success,True,True,True,False,False,True,False,True,False
500006,10173,2026-02-14,paid,mobile_app,CHF,B2C,824.3929999999999,824.39,0.0,824.39,0.0,2.0,2.0,success,True,True,True,False,False,False,True,False,True
500007,10188,2026-01-01,paid,online,CHF,B2C,328.887,328.89,328.89,0.0,0.0,2.0,0.0,refunded,True,True,True,False,True,False,False,False,False
500008,10012,2026-02-09,paid,mobile_app,CHF,VIP,118.36999999999999,118.37,0.0,118.37,0.0,2.0,0.0,success,True,True,True,False,False,True,False,True,True
500009,10032,2026-04-18,paid,online,CHF,B2C,2388.41,0.0,0.0,0.0,0.0,1.0,0.0,failed,True,True,False,False,False,False,False,False,False
500010,10128,2026-01-19,paid,online,CHF,B2B,2784.9225,2784.92,278.49,2506.4300000000003,0.0,2.0,0.0,refunded,True,True,True,False,True,False,True,False,True
500011,10096,2026-03-17,paid,store,CHF,B2C,1758.234,1758.23,0.0,1758.23,0.0,2.0,0.0,success,True,True,True,False,False,False,True,False,True
500013,10141,2026-03-13,paid,mobile_app,CHF,VIP,230.49450000000002,230.49,0.0,230.49,0.0,1.0,0.0,success,True,True,True,False,False,False,True,False,True
500014,10031,2026-03-02,cancelled,store,CHF,B2C,4866.335,0.0,0.0,0.0,0.0,0.0,0.0,,True,False,False,False,False,False,False,False,False
500015,10078,2026-04-27,paid,store,CHF,B2C,230.0695,230.07,57.52,172.54999999999998,0.0,2.0,0.0,refunded,True,True,True,False,True,False,True,False,True
500016,10020,2026-04-19,paid,online,CHF,B2C,2130.126,2130.13,0.0,2130.13,0.0,2.0,2.0,success,True,True,True,False,False,True,False,True,True
500017,10146,2026-01-12,paid,store,CHF,B2C,2928.65,0.0,0.0,0.0,10.0,1.0,0.0,success,True,True,True,False,False,False,False,False,False
500018,10221,2026-03-02,paid,store,CHF,B2C,4627.102,0.0,0.0,0.0,0.0,1.0,0.0,failed,True,True,False,False,False,False,False,False,False
500019,10060,2026-04-22,paid,online,CHF,B2C,2801.8379999999997,2801.84,1400.92,1400.92,0.0,2.0,0.0,refunded,True,True,True,False,True,False,True,False,True
500020,10191,2026-02-02,paid,mobile_app,CHF,B2C,313.119,313.12,0.0,313.12,0.0,2.0,0.0,success,True,True,True,False,False,True,False,True,True
500021,10134,2026-02-14,paid,store,CHF,B2C,1380.16,0.0,0.0,0.0,0.0,1.0,0.0,failed,True,True,False,False,False,False,False,False,False
500022,10160,,pending,store,CHF,B2B,474.14700000000005,474.15,0.0,474.15,0.0,1.0,0.0,success,True,True,True,False,False,True,False,True,False
500023,10093,2026-04-13,paid,store,CHF,B2B,3105.291,3105.29,0.0,3105.29,0.0,1.0,0.0,success,True,True,True,False,False,False,True,False,True
500024,10043,2026-04-02,cancelled,mobile_app,CHF,B2C,1204.676,1204.68,0.0,1204.68,0.0,1.0,0.0,success,True,True,True,False,False,True,False,True,False
500025,10130,2026-03-10,paid,online,CHF,B2C,1324.961,1324.96,0.0,1324.96,0.0,1.0,0.0,success,True,True,True,False,False,False,True,False,True
500026,10060,2026-01-08,cancelled,store,CHF,B2C,3495.913,0.0,0.0,0.0,0.0,0.0,0.0,,True,False,False,False,False,False,False,False,False
500027,10151,2026-01-25,paid,online,CHF,VIP,4101.192,4101.19,0.0,4101.19,0.0,1.0,0.0,success,True,True,True,False,False,False,True,False,True
