order_id,line_id,product_id,quantity,unit_price,discount_pct
500001,1,P029,5.0,50.8,5.0
500001,2,P017,5.0,96.27,0.0
500001,3,P026,5.0,224.72,0.0
500002,1,P014,2.0,516.0,5.0
500003,1,P044,5.0,472.44,20.0
500003,2,P054,3.0,291.62,10.0
500003,3,P055,1.0,492.42,0.0
500004,1,P010,1.0,90.38,10.0
500004,2,P029,2.0,45.71,20.0
500004,3,P041,3.0,560.82,5.0
500004,4,P052,1.0,337.8,0.0
500005,1,P025,5.0,142.47,0.0
500005,2,P021,1.0,207.63,0.0
500005,3,P046,1.0,40.75,0.0
500005,4,P003,1.0,420.98,5.0
500005,5,P018,1.0,63.51,20.0
500006,1,P001,1.0,19.88,0.0
500006,2,P008,1.0,345.51,20.0
500006,3,P012,2.0,277.95,5.0
500007,1,P051,3.0,121.81,10.0
500008,1,P022,2.0,62.3,5.0
500009,1,P004,2.0,320.41,0.0
500009,2,P047,1.0,338.79,0.0
500009,3,P059,2.0,615.81,0.0
500009,4,P021,1.0,177.18,0.0
500010,1,P023,3.0,61.25,5.0
500010,2,P041,4.0,652.59,0.0
500011,1,P057,1.0,464.95,0.0
500011,2,P023,5.0,59.31,0.0
500011,3,P059,1.0,587.79,15.0
500011,4,P017,1.0,80.69,15.0
500011,5,P060,3.0,150.36,5.0
500012,1,P029,1.0,43.55,10.0
500012,2,P006,2.0,252.56,0.0
500012,3,P026,2.0,233.83,0.0
500012,4,P011,2.0,438.25,0.0
500012,5,P024,2.0,653.42,0.0
500012,6,P029,1.0,48.7,5.0
500013,1,P026,1.0,213.55,15.0
500013,2,P053,,57.62,15.0
500014,1,P004,1.0,322.4,0.0
500014,2,P019,5.0,442.45,10.0
500014,3,P002,2.0,371.04,0.0
500014,4,P039,2.0,205.5,15.0
500014,5,P009,2.0,596.33,0.0
500014,6,P060,2.0,134.41,0.0
500015,1,P012,1.0,270.67,15.0
500016,1,P052,2.0,399.4,15.0
500016,2,P022,1.0,52.65,0.0
500016,3,P005,2.0,164.05,0.0
500016,4,P059,1.0,580.22,0.0
500016,5,P004,2.0,306.36,20.0
500017,1,P056,1.0,211.41,0.0
500017,2,P059,2.0,548.17,0.0
500017,3,P047,5.0,324.18,0.0
500018,1,P035,3.0,555.86,0.0
500018,2,P010,2.0,92.44,0.0
500018,3,P034,4.0,376.84,0.0
500018,4,P036,4.0,372.73,15.0
500019,1,P035,1.0,626.94,0.0
500019,2,P029,1.0,49.58,20.0
500019,3,P059,4.0,628.01,15.0
500020,1,P008,1.0,347.91,10.0
500021,1,P047,4.0,345.04,0.0
500022,1,P029,5.0,57.11,20.0
500022,2,P053,1.0,76.17,0.0
500022,3,P010,2.0,89.23,5.0
500023,1,P017,3.0,82.98 CHF,10.0
500023,2,P050,2.0,475.57,0.0
500023,3,P037,5.0,316.46,0.0
500023,4,P018,1.0,81.61,10.0
500023,5,P026,1.0,224.08,15.0
500023,6,P049,1.0,104.86,20.0
500024,1,P034,4.0,317.02,5.0
500025,1,P029,2.0,43.9,0.0
500025,2,P060,1.0,178.79,10.0
500025,3,P012,1.0,299.98,10.0
500025,4,P017,3.0,78.94,10.0
